ACSSF,2019m1,nc,000,0108,0000033,998,6426,4522,12570,13019,19929,6098,9867,16492,52498,24632,38130,.,18137,57396,25126,34798,.,9325,.,8270,56135,7918,19078,21301,50139,7653,15974,5710,5601,.,10543,7424,3836,3750,25883,10456,2182,4447,13393,16314,19764,10203,8498,.,.,6622,8818,23451,6967,10589,15784,9039,4964,4416,13712,.,.,.,5004,3558,10311,3786,8372,3035,19705,.,27292,11703,5303,8208,25970,9780
ACSSF,2019m1,nc,000,0108,0000034,831,5294,15125,18100,17119,37838,24924,31596,59272,12638,16352,17625,8111,34294,64813,7197,75655,12969,9777,26417,6012,7418,11164,6612,16888,.,21002,28802,4150,5410,3929,3559,12578,5381,23633,5035,7072,3270,1973,2230,1628,12373,25037,40076,23502,19178,6011,9683,27276,5586,54010,3315,8673,12890,6812,9064,15025,.,.,6706,11541,32013,4120,15410,7475,111237,.,.,.,2301,14089,.,2548
ACSSF,2019m1,nc,000,0108,0000035,2414,8757,13685,9728,18665,16218,43170,50565,45413,.,22107,.,.,46909,29643,165621,165621,.,10504,.,33969,37185,42203,11307,28553,.,9770,12455,27132,19046,.,16893,36736,4889,10767,20043,11205,4539,7203,11668,19588,36486,60322,20731,.,.,12379,21542,27363,17197,.,10458,23363,13745,4554,8263,.,.,.,12363,18335,7805,4532,4739,7615,.,.,.,.,13047,3236,37109,7509
ACSSF,2019m1,nc,000,0108,0000036,518,1512,2524,7252,7418,7261,5523,7087,4596,84022,8658,10570,65143,4455,13033,17331,35885,13483,2361,17107,3437,10920,16268,4622,5416,26196,4669,5004,3875,2427,5462,913,3537,4059,7686,10270,5160,1200,2247,2275,8581,4402,3801,4411,52669,23620,1393,5025,7513,3421,13023,7018,5092,5303,1089,1647,12048,9248,51633,2774,3804,1947,1264,3125,2685,7824,.,8699,37351,3013,6328,3670,6614
ACSSF,2019m1,nc,000,0108,0000037,2652,3931,18732,14093,55499,19184,21824,45735,20954,.,24358,10322,.,27654,35427,21966,178595,19220,1081,2778,6395,6116,24380,482,8862,11019,13619,24049,12415,13327,9468,12503,26613,3302,6809,41029,8359,3974,4893,6386,29372,6052,24827,.,.,.,12480,27386,.,14674,8189,6123,8519,21773,2237,7417,31115,.,24684,2404,32489,1041,5284,19092,4605,29873,.,.,.,19863,.,22929,45948
ACSSF,2019m1,nc,000,0108,0000038,4650,5500,6908,15882,25626,16131,16771,74675,5704,.,4886,5482,.,7543,.,.,.,.,4699,.,39900,38191,.,6754,15878,.,15767,14094,21885,16282,102871,22374,48198,6416,4111,13729,18263,3117,6751,5858,10161,29905,13986,.,.,.,12470,18722,101350,12756,.,4769,6407,21394,7401,4951,16445,13909,.,9327,12183,3678,3397,4139,2180,.,.,.,.,17608,12317,.,12103
ACSSF,2019m1,nc,000,0108,0000039,3122,2178,9870,10640,18055,13258,21764,32423,50716,47558,20106,10031,56031,40887,42618,21534,22384,118746,6489,25233,4793,2168,12639,5407,3105,5639,4252,2772,11862,7773,166657,6313,1178,7953,10439,2610,12658,2362,3656,5179,7117,20618,5397,40145,52936,11351,2322,15563,35128,3986,31620,5105,10937,8552,2145,16955,1068,1068,.,2146,4120,9790,4299,5300,11040,34547,.,.,.,15450,6498,83499,26732
ACSSF,2019m1,nc,000,0108,0000040,3394,2774,14766,3624,10827,13223,14715,90040,23696,.,31399,47705,.,34338,.,24375,277,32640,5801,.,11727,71350,19009,4263,3395,49280,10308,9560,23067,8828,6235,793,3290,10283,18416,23764,5468,3179,7404,9434,15615,4312,22133,17599,101025,.,16267,27349,183163,19516,24910,8451,47518,15707,2860,21144,6323,.,.,3482,7938,3932,4850,5498,7754,11443,.,.,.,18183,21884,14903,.
ACSSF,2019m1,nc,000,0108,0000041,2889,7844,10137,47871,53882,48857,12341,12245,38993,27113,16083,34378,87028,20133,35373,83100,83100,.,10955,.,36956,70709,50529,7915,13711,1613,12119,11246,18538,11670,.,10385,2914,8447,7832,24914,5720,3025,7935,10367,16015,26115,16619,24438,.,6393,15694,9250,47342,5797,52712,18187,13005,7948,4644,11524,96976,.,.,5278,38079,18854,5139,6002,7570,16471,.,.,.,10965,3882,4927,20196
ACSSF,2019m1,nc,000,0108,0000042,2644,4401,5153,16417,21172,22778,12986,25516,26879,37966,8244,11924,4476,12802,20504,26859,87167,12563,8374,19367,43641,53022,30243,3094,29896,13245,11723,22768,15901,9241,.,8722,18664,11829,18765,9717,3609,1358,5963,19959,18709,34621,21976,33353,.,32965,12582,6494,61845,15691,16449,11221,8172,11113,5444,4461,44061,.,44061,12196,12198,5866,7514,4992,5339,18939,.,.,.,12514,10282,89464,4481
