ACSSF,2019e1,nc,000,0056,0000038,11605,5067,1324,582,71,395,0,276,2139,837,39,610,295,358,1604,374,276,565,132,257,6538,1635,551,216,384,421,63,3202,807,243,1197,594,361,1701,172,182,7,975,365,12263,266,885,77,660,722,661,180,1141,3263,2604,100,501,79,294,830,3282,1352,23,1099,423,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8025,1971,1004,1824,1931,1295,,,,,,
ACSSF,2019e1,nc,000,0056,0000039,69893,28773,7354,3401,703,1154,171,1925,13603,5018,386,5002,528,2669,7816,2893,424,2371,795,1333,41120,11550,3870,1207,1555,1681,3237,20980,6545,2342,4348,2608,5137,8590,2017,720,388,3541,1924,73741,2352,4952,2263,4826,6454,4122,515,6205,15337,9452,3465,2991,3130,3621,4056,3851,569,514,928,1028,812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61796,21177,4959,13307,7878,14475,,,,,,
ACSSF,2019e1,nc,000,0056,0000040,26789,11685,5530,2451,369,823,168,1719,4191,1559,338,798,176,1320,1964,628,188,355,550,243,15104,5698,1065,1097,746,1150,1640,7524,2027,1694,1465,1742,596,1882,395,435,69,527,456,29600,1211,701,634,2133,2642,1370,307,4195,4320,4918,1068,2252,972,427,2450,4253,1226,972,479,73,1503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18400,5634,2240,2989,3626,3911,3149,1339,837,282,438,253
ACSSF,2019e1,nc,000,0056,0000041,59092,28092,7679,4965,251,1040,0,1423,13769,7239,811,2528,260,2931,6644,3475,533,1228,193,1215,31000,10143,4431,1341,534,588,3249,15071,5572,1926,1670,1345,4558,5786,2024,843,260,995,1664,65705,3402,8638,3325,3120,7687,3550,616,6587,7413,3930,6475,3520,2584,2402,2456,3447,1538,102,571,228,1008,,,,,,,4525,3055,478,503,294,195,,,,,,,,,,,,,,,,,,,46798,20591,5022,5637,2635,12913,3548,2032,0,526,224,766
ACSSF,2019e1,nc,000,0056,0000042,35957,16494,5642,2721,451,902,421,1147,7887,3203,866,1423,174,2221,2965,1147,370,607,428,413,19463,6979,1602,1543,1241,695,1898,8790,1555,1642,1565,1824,2204,3694,868,450,116,1674,586,38575,1032,3714,1948,1601,2307,1313,113,6129,6030,5287,619,1200,2153,1384,3745,6696,2506,916,1090,758,1426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26636,7628,3954,4322,4340,6392,,,,,,
ACSSF,2019e1,nc,000,0056,0000043,14977,6178,1586,570,88,0,69,859,2229,753,46,174,171,1085,2363,703,0,399,348,913,8799,2407,443,669,655,315,325,3500,591,479,938,642,850,2892,377,312,88,1479,636,16818,376,900,483,848,726,570,0,2092,2254,3024,725,2514,738,308,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12295,3010,1518,1625,2776,3366,,,,,,
ACSSF,2019e1,nc,000,0056,0000044,12639,5053,1241,438,93,93,122,495,2129,449,171,374,448,687,1683,414,0,853,141,275,7586,1717,535,580,0,419,183,4049,1138,374,819,1227,491,1820,188,196,42,1368,26,13186,431,475,515,591,893,281,184,1604,2181,3732,77,465,414,96,1247,2522,756,165,426,633,542,4810,1352,577,679,1398,804,,,,,,,,,,,,,,,,,,,,,,,,,4530,760,522,1010,1694,544,,,,,,
ACSSF,2019e1,nc,000,0056,0000045,9412,4452,936,389,131,305,60,51,1901,1015,46,415,258,167,1615,813,68,64,341,329,4960,1451,478,208,290,289,186,2162,366,221,543,447,585,1347,182,88,181,657,239,9539,307,195,371,822,790,747,37,816,1798,2052,207,549,350,93,405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7263,2438,664,1116,1600,1445,,,,,,
ACSSF,2019e1,nc,000,0056,0000046,17979,8058,1439,290,330,92,0,727,4563,2104,859,693,112,795,2056,519,209,753,221,354,9921,2821,776,74,678,139,1154,5452,1483,978,1095,1049,847,1648,280,325,157,539,347,19119,901,948,225,840,2132,885,39,2845,3468,2295,246,1110,575,391,2219,2612,730,395,926,108,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13861,3989,1921,2425,1952,3574,,,,,,
ACSSF,2019e1,nc,000,0056,0000047,9523,4826,399,53,45,53,151,97,2737,1304,167,949,116,201,1690,515,40,392,166,577,4697,915,431,212,54,182,36,2337,142,755,330,749,361,1445,165,339,197,340,404,10427,199,402,344,185,1335,410,0,1592,2106,1820,53,540,108,286,1047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8647,2309,1558,1733,1688,1359,,,,,,
