ACSSF,2019e1,nc,000,0094,0000031,46416,5589,1869,3720,40827,14740,26087,46416,5589,3445,1049,2396,710,1686,0,2144,213,174,14,160,1757,40827,12645,9187,3318,981,2337,140,28182,13016,1672,680,992,13494,46416,5589,2986,2603,40827,4069,36758,32818,2649,30169,10078,2656,7422,362,78,284,,,,,,,1906,129,1777,617,69,548,30109,2649,27460,5145,165,4980,31025,3832,1262,118,279,611,528,83,254,237,17,2570,724,344,380,0,0,1846,442,1157,233,14,27193,22203,3449,6590,10583,9400,1183,1581,1355,226,4990,1661,90,1015,556,0,3329,657,1786,390,496,55753,17371,61201,46416,5589,2487,3102,40827,9878,30949,46416,5589,40827
ACSSF,2019e1,nc,000,0094,0000032,51115,3824,1773,2051,47291,25220,22071,51115,3824,1367,234,1133,0,1133,0,2457,647,782,340,442,1028,47291,11415,8091,2861,1073,1788,463,35876,18070,2174,525,1649,15632,51115,3824,1564,2260,47291,3350,43941,47205,3680,43525,1742,144,1598,,,,,,,,,,,,,,,,44035,3680,40355,3881,0,3881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62131,17930,65725,51115,3824,1795,2029,47291,14155,33136,51115,3824,47291
ACSSF,2019e1,nc,000,0094,0000033,68145,4409,1543,2866,63736,25935,37801,68145,4409,2590,845,1745,485,1260,0,1819,203,345,211,134,1271,63736,19835,15499,4158,1609,2549,178,43901,22882,3958,1227,2731,17061,68145,4409,1563,2846,63736,3518,60218,55226,2388,52838,8010,1752,6258,,,,1752,0,1752,,,,,,,1711,269,1442,53452,2210,51242,3571,200,3371,49635,3138,1048,155,208,685,626,59,0,0,0,2090,696,102,473,87,34,1394,282,848,164,100,46497,38381,5183,9278,18067,17042,1025,5853,5292,561,8116,2836,207,1739,702,188,5280,987,2383,1302,608,68660,24888,72440,68145,4409,1224,3185,63736,14867,48869,68145,4409,63736
ACSSF,2019e1,nc,000,0094,0000034,73567,9065,3855,5210,64502,23658,40844,73567,9065,4188,1542,2646,240,2406,0,4877,998,1220,200,1020,2659,64502,23479,17424,5817,1628,4189,238,41023,19985,4111,1044,3067,16927,73567,9065,5361,3704,64502,4794,59708,57365,5212,52153,12070,3277,8793,,,,,,,,,,1806,512,1294,,,,53732,4228,49504,5619,1535,4084,53743,6406,2540,315,1569,617,415,202,39,39,0,3866,440,200,176,0,64,3426,862,1389,1015,160,47337,37409,5250,9510,16916,15957,959,5733,5419,314,9928,2672,76,2001,162,433,7256,1034,4302,1063,857,60951,18516,71575,73567,9065,3919,5146,64502,15482,49020,73567,9065,64502
ACSSF,2019e1,nc,000,0094,0000035,34418,3862,1350,2512,30556,12412,18144,34418,3862,1411,826,585,224,361,0,2451,346,402,60,342,1703,30556,9145,6874,2077,256,1821,194,21411,10444,2891,843,2048,8076,34418,3862,1053,2809,30556,1855,28701,31766,3617,28149,2115,245,1870,,,,,,,,,,,,,,,,29650,3557,26093,2404,60,2344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71514,28667,74294,34418,3862,1716,2146,30556,7279,23277,34418,3862,30556
ACSSF,2019e1,nc,000,0094,0000036,426313,29634,10698,18936,396679,115323,281356,426313,29634,14350,2511,11471,1164,10307,368,15284,2584,3299,660,2639,9401,396679,112967,77249,35341,9325,26016,377,283712,98616,23688,6617,17071,161408,426313,29634,12368,17266,396679,28644,368035,238560,7280,231280,135619,17743,117876,,,,21734,969,20765,,,,18466,2205,16261,9778,1332,8446,220562,5630,214932,38586,3846,34740,254759,19865,5095,819,1840,1597,1178,419,839,270,569,14770,1824,102,980,742,0,12946,1996,8256,2370,324,234894,175865,16528,43946,93870,87852,6018,21521,20152,1369,59029,15942,481,9298,4935,1228,43087,3311,23283,14111,2382,69072,21945,72474,426313,29634,11838,17796,396679,51763,344916,426313,29634,396679
ACSSF,2019e1,nc,000,0094,0000037,41530,3328,1498,1830,38202,19158,19044,41530,3328,1867,527,1276,56,1220,64,1461,197,331,0,331,933,38202,8776,6305,2116,331,1785,355,29426,14193,2246,183,2063,12987,41530,3328,1799,1529,38202,2572,35630,35298,1770,33528,4477,1467,3010,,,,,,,,,,,,,,,,34154,1541,32613,1736,320,1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62469,31179,67087,41530,3328,1293,2035,38202,10799,27403,41530,3328,38202
ACSSF,2019e1,nc,000,0094,0000038,37574,6492,2747,3745,31082,13597,17485,37574,6492,3689,997,2692,605,2087,0,2803,6,1238,386,852,1559,31082,8646,5682,2964,1392,1572,0,22436,10818,2605,872,1733,9013,37574,6492,2879,3613,31082,3813,27269,19831,2121,17710,15969,4155,11814,,,,,,,,,,1102,163,939,,,,19655,2089,17566,1278,195,1083,27002,4933,1003,56,755,192,38,154,0,0,0,3930,991,47,880,64,0,2939,423,1698,703,115,22069,16500,3621,3945,8040,7353,687,894,644,250,5569,2264,32,1176,1056,0,3305,540,1658,1107,0,50656,26379,56220,37574,6492,2853,3639,31082,10139,20943,37574,6492,31082
ACSSF,2019e1,nc,000,0094,0000039,100189,7945,2939,5006,92244,37488,54756,100189,7945,2844,250,2484,475,2009,110,5101,820,678,131,547,3603,92244,19268,14195,5073,1753,3320,0,72976,28702,3958,939,3019,40316,100189,7945,3200,4745,92244,9705,82539,84498,3719,80779,11217,3368,7849,,,,,,,,,,1115,223,892,2504,475,2029,81905,3657,78248,3847,285,3562,56160,4232,1070,165,236,625,625,0,44,44,0,3162,606,43,510,53,0,2556,564,1476,196,320,51928,42897,7395,9990,21556,20393,1163,3956,3731,225,9031,2692,262,2248,182,0,6339,1365,3535,1100,339,56382,22773,61083,100189,7945,3103,4842,92244,19810,72434,100189,7945,92244
ACSSF,2019e1,nc,000,0094,0000040,63604,8241,1351,6890,55363,15931,39432,63604,8241,4948,1490,3414,347,3067,44,3293,243,899,529,370,2151,55363,17705,13719,3806,1006,2800,180,37658,20084,2547,681,1866,15027,63604,8241,3290,4951,55363,4993,50370,49302,4809,44493,9442,1469,7973,,,,,,,,,,,,,2983,1918,1065,44881,4745,40136,5883,567,5316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49544,20848,53786,63604,8241,3932,4309,55363,17385,37978,63604,8241,55363
