ACSSF,2019e1,nc,000,0116,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0116,0000036,607305,1231,41456,46425,22607,62612,40652,12313,77853,87970,113221,60043,29479,11443,273753,1054,9701,19106,5475,10197,8699,7897,52353,56129,77023,14363,6530,5226,93630,0,428,886,156,2041,813,283,2664,12646,22044,34152,13008,4509,133646,0,1523,8124,11984,38775,10615,3145,20787,13709,12165,7947,3495,1377,43076,177,28481,1754,1003,2111,938,922,1424,1634,629,745,3158,100,63200,0,1323,16555,3989,9488,19587,66,625,3852,1360,2836,3288,231
ACSSF,2019e1,nc,000,0116,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0116,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019e1,nc,000,0116,0000039,118704,650,6703,7406,1978,15023,4573,3327,8529,15784,29355,17118,4589,3669,53205,341,1669,2284,306,1794,1817,1949,4090,10873,22789,2945,706,1642,22273,0,59,410,0,647,0,232,447,1773,3261,12129,1737,1578,23618,86,87,602,1186,9985,564,495,3582,2080,2834,1201,540,376,8804,223,4888,440,0,1078,180,609,199,95,312,311,396,73,10804,0,0,3670,486,1519,2012,42,211,963,159,532,1210,0
ACSSF,2019e1,nc,000,0116,0000040,68223,768,8278,3071,324,8311,2803,422,2727,6755,14867,11469,3327,5101,22608,213,1006,917,78,721,257,339,1382,3683,10342,1008,283,2379,14722,199,0,0,0,235,0,0,547,1053,2532,7950,1048,1158,12944,0,202,362,146,5028,460,83,748,1457,931,2292,392,843,10916,323,6681,680,0,976,394,0,0,327,310,90,793,342,7033,33,389,1112,100,1351,1692,0,50,235,752,129,811,379
ACSSF,2019e1,nc,000,0116,0000041,74346,452,3378,4993,700,5540,997,2027,3012,11664,28539,7552,3021,2471,44387,306,1383,2810,222,1023,63,1582,1393,9521,22658,1929,559,938,12309,0,0,185,0,120,0,227,236,968,3445,4922,1309,897,9697,0,169,621,131,3131,68,166,1383,941,1738,630,573,146,3173,146,1786,0,153,0,273,52,0,0,400,0,130,233,4780,0,40,1377,194,1266,593,0,0,234,298,71,450,257
ACSSF,2019e1,nc,000,0116,0000042,86219,1658,5406,7113,2403,10206,2877,2049,3144,6354,26840,10756,4279,3134,32781,756,1344,2164,0,599,340,1419,1348,3031,17982,2069,699,1030,20690,82,0,809,0,315,580,0,0,1071,6363,7288,2346,1836,17897,0,275,1053,1602,7223,436,428,1681,1532,2046,934,419,268,4746,421,3397,226,0,230,77,0,0,0,108,0,287,0,10105,399,390,2861,801,1839,1444,202,115,720,341,465,528,0
ACSSF,2019e1,nc,000,0116,0000043,62678,942,4708,15492,1562,7912,3672,1083,2659,4685,10017,5854,2233,1859,17266,280,1193,2696,361,1030,432,780,784,1901,5952,1052,507,298,10204,0,120,372,0,334,357,0,200,1737,2180,3241,909,754,12887,39,194,836,1026,4571,366,0,1661,571,1555,1355,244,469,5523,623,2738,765,45,486,120,303,14,25,68,0,336,0,16798,0,463,10823,130,1491,2397,0,0,451,262,206,237,338
ACSSF,2019e1,nc,000,0116,0000044,47513,1255,4530,7193,1118,4503,2055,444,1991,2909,13654,3523,1390,2948,13079,534,267,816,174,269,256,86,951,529,7637,452,239,869,10125,37,0,450,0,155,0,0,75,1102,4383,2060,513,1350,7810,0,107,244,509,2228,462,121,794,553,1224,896,164,508,7403,485,4037,794,56,640,242,0,171,272,256,57,198,195,9096,199,119,4889,379,1211,1095,237,0,453,154,58,276,26
