ACSSF,2019e1,nc,000,0008,0000031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135976,107000,77449,29551,28976,3313,25663,135976,7523,46,1508,46,483,1127,10291,3084,2520,298,12325,349,259,8868,4858,28,537,2075,30,1282,3326,2796,224,957,1427,75,74,476,1386,28976,135976,107000,77449,29551,28976
ACSSF,2019e1,nc,000,0008,0000032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117417,91324,62473,28851,26093,2527,23566,117417,13397,156,1293,407,338,1162,17576,1384,2725,508,16300,53,925,17868,3801,159,1108,1866,153,519,3983,3494,108,292,768,374,182,1598,110,26093,117417,91324,62473,28851,26093
ACSSF,2019e1,nc,000,0008,0000033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181806,135775,92935,42840,46031,5097,40934,181806,17154,495,946,407,266,1594,14207,4144,3878,1954,26386,932,574,19570,10350,583,1120,4164,299,296,4911,3557,332,681,1024,260,373,1479,393,46031,181806,135775,92935,42840,46031
ACSSF,2019e1,nc,000,0008,0000034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209339,179693,136801,42892,29646,5584,24062,209339,35461,907,1593,23,74,437,20739,7800,3939,849,13408,251,401,15280,7336,0,389,2908,0,1197,4648,3904,234,3565,1763,362,606,1058,34,29646,209339,179693,136801,42892,29646
ACSSF,2019e1,nc,000,0008,0000035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86111,63557,45000,18557,22554,1914,20640,86111,7995,67,281,0,208,1118,8288,2349,1451,1286,15339,454,248,10293,2715,0,379,1085,359,278,2136,2891,87,1204,708,527,294,515,0,22554,86111,63557,45000,18557,22554
ACSSF,2019e1,nc,000,0008,0000036,1110356,0,247,0,57758,6902,322,0,1268,1417,0,116,1112,2036,768,587,0,97,2087,0,439,2310,8730,208,84,956,0,172,505,0,2419,1297,872,6768,3115,77439,0,18330,997,15547,2518,100421,0,4935,422,2759,97,1966,82414,149,40995,116,1271,0,1111,99,0,910,5789,52,20233,1751,3411,7002,2841,23818,23848,719,229,1638,433,0,30863,81,1980,958,126,861,1952,81,0,1244,450,866,0,111,19923,2772,7092,1981,1325,4336,6911,6780,0,121,105,0,301,0,679,4019,445,38,1167,0,405,522533,179474,1110356,930882,708099,222783,179474,18918,160556,1110356,57758,6902,8730,2419,872,6768,77439,18330,15547,2518,100421,4935,2759,82414,40995,1271,5789,20233,1751,7002,23818,23848,1638,30863,7092,1981,4336,6911,6780,179474,1110356,930882,708099,222783,179474
ACSSF,2019e1,nc,000,0008,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100880,83160,57701,25459,17720,1542,16178,100880,7857,245,1603,932,300,515,8269,2921,1949,524,9224,47,1215,9627,5431,0,636,2949,153,169,2449,3444,259,100,1031,218,550,1049,113,17720,100880,83160,57701,25459,17720
ACSSF,2019e1,nc,000,0008,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94298,72097,61134,10963,22201,898,21303,94298,13802,683,607,23,42,840,8723,1552,332,72,4335,61,300,3188,2222,0,192,393,0,147,463,1578,0,292,261,0,0,368,0,22201,94298,72097,61134,10963,22201
ACSSF,2019e1,nc,000,0008,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234473,148637,90010,58627,85836,44891,40945,234473,14671,1328,3011,569,484,1266,24770,6268,4028,820,24722,1007,1239,22403,14537,430,2465,6638,657,650,6064,6779,412,1823,1909,554,818,1633,300,85836,234473,148637,90010,58627,85836
ACSSF,2019e1,nc,000,0008,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197938,153434,90688,62746,44504,5587,38917,197938,9637,959,510,966,103,3050,20178,3845,3640,1120,24033,273,962,24167,11813,0,1247,3495,587,702,4027,5209,237,648,1770,0,280,2223,799,44504,197938,153434,90688,62746,44504
ACSSF,2019e1,nc,000,0008,0000041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148476,117866,77333,40533,30610,2937,27673,148476,7634,752,2436,499,612,1111,17706,3068,2894,851,16624,389,280,14172,5289,263,1540,4715,110,1394,4493,3526,272,387,1758,209,213,1558,684,30610,148476,117866,77333,40533,30610
ACSSF,2019e1,nc,000,0008,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180742,100780,75645,25135,79962,23044,56918,180742,12403,0,1493,0,30,382,15480,5315,1791,249,6878,491,469,10479,4055,220,627,1675,93,291,2983,4015,100,1824,482,266,61,766,1029,79962,180742,100780,75645,25135,79962
ACSSF,2019e1,nc,000,0008,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143667,114726,83236,31490,28941,3542,25399,143667,14938,0,1682,27,147,2068,10118,2308,1830,917,16247,810,76,14749,2824,0,229,1572,0,367,4789,3125,88,1478,149,232,225,624,56,28941,143667,114726,83236,31490,28941
ACSSF,2019e1,nc,000,0008,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130625,116848,110853,5995,13777,1260,12517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130625,116848,110853,5995,13777
ACSSF,2019e1,nc,000,0008,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91010,70182,57032,13150,20828,3144,17684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91010,70182,57032,13150,20828
ACSSF,2019e1,nc,000,0008,0000046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142088,104014,75160,28854,38074,4759,33315,142088,11936,210,849,238,330,1260,8834,2772,1859,42,20571,73,166,12318,5250,0,575,1313,176,726,6294,4541,91,921,165,451,0,463,223,38074,142088,104014,75160,28854,38074
ACSSF,2019e1,nc,000,0008,0000047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67029,54302,46257,8045,12727,1255,11472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67029,54302,46257,8045,12727
ACSSF,2019e1,nc,000,0008,0000048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71783,54635,44758,9877,17148,1565,15583,71783,18850,0,576,52,48,579,7311,905,558,120,4827,0,109,3393,2552,24,181,554,64,10,2735,1878,0,0,310,162,0,214,0,17148,71783,54635,44758,9877,17148
ACSSF,2019e1,nc,000,0008,0000049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239859,164821,110895,53926,75038,7340,67698,239859,17226,553,2976,306,172,1789,22597,6212,3749,1380,22823,2257,1310,20319,11988,733,1314,6486,315,1787,6546,4657,737,1979,2836,925,2895,1384,276,75038,239859,164821,110895,53926,75038
