ACSSF,2019m1,nc,000,0060,0000036,1098,5414,4409,2961,3017,531,1205,566,3026,2163,1348,856,823,687,7892,6161,4168,2919,1523,734,541,3988,3619,1081,515,923,413,8516,7477,7476,1756,1514,827,658,4633,4618,1072,600,846,347,8410,7846,6737,1926,2454,2186,1274,3685,3255,674,821,835,1047,1098,5414,4409,2961,3017,1381,3026,2163,1348,1361,7892,6161,4168,2919,1764,3988,3619,1081,1147,8516,7477,7476,1756,1646,4633,4618,1072,1075,8410,7846,6737,1926,3266,3685,3255,674,1694
ACSSF,2019m1,nc,000,0060,0000037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640,1464,1118,987,513,216,993,890,385,83,2619,1728,1681,421,128,1714,1719,32,201,2404,2352,2150,511,569,1572,1498,483,137,3147,2684,2580,519,710,1567,1453,237,362
ACSSF,2019m1,nc,000,0060,0000038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACSSF,2019m1,nc,000,0060,0000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1318,2213,1592,1400,826,553,1581,1486,286,89,2897,2390,2168,777,397,1804,1794,219,202,3496,3246,3347,634,865,1963,1909,266,572,3683,3564,3617,462,865,2309,2100,256,614
ACSSF,2019m1,nc,000,0060,0000040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1688,2204,1708,1300,967,360,1371,1226,504,194,3929,2949,2722,883,304,2710,2705,181,328,4174,3181,3085,500,713,2923,2639,1251,366,3480,3005,2778,1252,282,1479,1386,494,136
ACSSF,2019m1,nc,000,0060,0000041,1044,1507,948,681,516,367,493,216,1106,1106,216,216,216,216,1793,1420,1287,483,147,171,216,1372,1363,216,255,219,216,1946,1450,1280,560,267,337,109,1389,1207,421,312,361,216,2622,2741,2799,921,677,973,489,1527,1451,267,468,628,74,1044,1507,948,681,516,607,1106,1106,216,216,1793,1420,1287,483,220,1372,1363,216,292,1946,1450,1280,560,356,1389,1207,421,414,2622,2741,2799,921,1305,1527,1451,267,743
ACSSF,2019m1,nc,000,0060,0000042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,671,2294,1801,1705,745,207,1406,1309,439,258,2826,2328,1993,1087,452,2070,1867,514,592,3212,2754,2704,665,304,1676,1662,141,63,2984,2410,2080,498,1013,2037,1958,216,404
ACSSF,2019m1,nc,000,0060,0000043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,824,2070,1583,1109,977,286,1669,1437,816,278,2645,2448,2410,705,216,1899,1862,317,22,2855,2363,2311,472,113,1902,1898,521,27,2477,1688,1739,275,412,1377,1127,127,907
ACSSF,2019m1,nc,000,0060,0000044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,1660,1137,992,442,215,1439,1416,399,93,1912,1474,1393,290,236,1378,1394,247,121,1589,1597,1516,245,93,1330,1311,146,104,1669,1281,1267,45,108,846,791,196,154
ACSSF,2019m1,nc,000,0060,0000045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,683,2004,1256,1079,455,216,1500,1429,483,78,2452,2148,2138,390,216,1796,1708,433,79,2147,1755,1650,549,79,1149,1129,245,69,1467,1402,1324,651,164,823,823,216,216
